Assembly	01_falcon_p_ctg	02_falcon_p_h_ctg	11_arenosa_pilon12	12_arenosa_purged_sr	01_falcon_p_ctg_salsa_filtered	02_falcon_p_h_ctg_salsa_filtered	11_arenosa_pilon12_salsa_filtered	12_arenosa_purged_sr_salsa	01_falcon_p_ctg_final	02_falcon_p_h_ctg_final	11_arenosa_pilon12_final	12_arenosa_purged_sr_final	arenosa_jelly
# contigs (>= 0 bp)	484	470	859	410	337	407	776	342	237	228	565	286	462
# contigs (>= 1000 bp)	484	470	859	410	337	407	776	342	237	228	565	286	462
# contigs (>= 5000 bp)	483	470	621	245	336	407	538	177	237	228	357	146	286
# contigs (>= 10000 bp)	477	466	537	196	332	403	454	128	234	227	294	115	207
# contigs (>= 25000 bp)	344	403	478	179	260	340	395	115	180	194	261	107	145
# contigs (>= 50000 bp)	188	238	331	134	156	182	255	87	103	89	162	80	68
Total length (>= 0 bp)	225781295	249504600	255608040	151881314	225858795	249545600	255657040	151915814	189894782	162896298	183689221	150751807	154456278
Total length (>= 1000 bp)	225781295	249504600	255608040	151881314	225858795	249545600	255657040	151915814	189894782	162896298	183689221	150751807	154456278
Total length (>= 5000 bp)	225778782	249504600	254956935	151435513	225856282	249545600	255005935	151470013	189894782	162896298	183130846	150380952	153979150
Total length (>= 10000 bp)	225727929	249476609	254389088	151102014	225820955	249517609	254438088	151136514	189866324	162891181	182701359	150170767	153427763
Total length (>= 25000 bp)	223251395	248156176	253342979	150821953	224480577	248197176	253391979	150935889	188884462	162156500	182123310	150032069	152435344
Total length (>= 50000 bp)	217990708	242451002	247814601	149039459	220891534	242750619	248113571	149824021	186239991	158555422	178366498	148952382	149674947
# contigs	483	470	713	306	336	407	630	238	237	228	431	195	352
Largest contig	13190999	13314644	13302634	13302634	23542876	51827618	46329079	47732179	23582681	51779327	46328374	47720781	22162068
Total length	225778782	249504600	255311568	151675319	225856282	249545600	255360568	151709819	189894782	162896298	183419991	150573280	154239195
Estimated reference length	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584	179629584
GC (%)	35.88	35.79	36.00	35.89	35.88	35.79	36.00	35.89	35.81	35.76	36.01	35.85	35.92
N50	4319429	3810243	2746767	4790183	7560789	11717667	6772155	13302634	8919586	16775319	14664562	13300974	18637516
NG50	5156912	5164143	4305214	4095823	11918542	16527681	14665077	11809244	11942530	16527129	14664562	11809204	16418538
N75	1670677	1437295	1256940	2707457	3486241	3176567	3099571	5947079	4368003	5259922	4789904	5945752	15442706
NG75	3268091	3276411	2605805	1196618	4816884	8104231	6525509	2103907	4828294	3810256	4984432	2103694	14098307
L50	16	19	23	10	9	6	8	3	7	3	4	3	4
LG50	11	11	13	13	6	4	4	4	6	4	4	4	5
L75	37	48	58	20	20	18	21	7	14	6	11	7	7
LG75	22	22	26	31	12	7	9	13	12	9	10	13	8
# N's per 100 kbp	0.00	0.00	0.00	0.36	34.31	16.43	19.19	23.10	32.78	14.90	16.51	21.88	8.04
