All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Estimated reference length  GC (%)  N50       NG50      N75       NG75      L50  LG50  L75  LG75  # N's per 100 kbp
01_falcon_p_ctg                    484                  484                     483                     477                      344                      188                      225781295               225781295                  225778782                  225727929                   223251395                   217990708                   483        13190999        225778782     179629584                   35.88   4319429   5156912   1670677   3268091   16   11    37   22    0.00             
02_falcon_p_h_ctg                  470                  470                     470                     466                      403                      238                      249504600               249504600                  249504600                  249476609                   248156176                   242451002                   470        13314644        249504600     179629584                   35.79   3810243   5164143   1437295   3276411   19   11    48   22    0.00             
11_arenosa_pilon12                 859                  859                     621                     537                      478                      331                      255608040               255608040                  254956935                  254389088                   253342979                   247814601                   713        13302634        255311568     179629584                   36.00   2746767   4305214   1256940   2605805   23   13    58   26    0.00             
12_arenosa_purged_sr               410                  410                     245                     196                      179                      134                      151881314               151881314                  151435513                  151102014                   150821953                   149039459                   306        13302634        151675319     179629584                   35.89   4790183   4095823   2707457   1196618   10   13    20   31    0.36             
01_falcon_p_ctg_salsa_filtered     337                  337                     336                     332                      260                      156                      225858795               225858795                  225856282                  225820955                   224480577                   220891534                   336        23542876        225856282     179629584                   35.88   7560789   11918542  3486241   4816884   9    6     20   12    34.31            
02_falcon_p_h_ctg_salsa_filtered   407                  407                     407                     403                      340                      182                      249545600               249545600                  249545600                  249517609                   248197176                   242750619                   407        51827618        249545600     179629584                   35.79   11717667  16527681  3176567   8104231   6    4     18   7     16.43            
11_arenosa_pilon12_salsa_filtered  776                  776                     538                     454                      395                      255                      255657040               255657040                  255005935                  254438088                   253391979                   248113571                   630        46329079        255360568     179629584                   36.00   6772155   14665077  3099571   6525509   8    4     21   9     19.19            
12_arenosa_purged_sr_salsa         342                  342                     177                     128                      115                      87                       151915814               151915814                  151470013                  151136514                   150935889                   149824021                   238        47732179        151709819     179629584                   35.89   13302634  11809244  5947079   2103907   3    4     7    13    23.10            
01_falcon_p_ctg_final              237                  237                     237                     234                      180                      103                      189894782               189894782                  189894782                  189866324                   188884462                   186239991                   237        23582681        189894782     179629584                   35.81   8919586   11942530  4368003   4828294   7    6     14   12    32.78            
02_falcon_p_h_ctg_final            228                  228                     228                     227                      194                      89                       162896298               162896298                  162896298                  162891181                   162156500                   158555422                   228        51779327        162896298     179629584                   35.76   16775319  16527129  5259922   3810256   3    4     6    9     14.90            
11_arenosa_pilon12_final           565                  565                     357                     294                      261                      162                      183689221               183689221                  183130846                  182701359                   182123310                   178366498                   431        46328374        183419991     179629584                   36.01   14664562  14664562  4789904   4984432   4    4     11   10    16.51            
12_arenosa_purged_sr_final         286                  286                     146                     115                      107                      80                       150751807               150751807                  150380952                  150170767                   150032069                   148952382                   195        47720781        150573280     179629584                   35.85   13300974  11809204  5945752   2103694   3    4     7    13    21.88            
arenosa_jelly                      462                  462                     286                     207                      145                      68                       154456278               154456278                  153979150                  153427763                   152435344                   149674947                   352        22162068        154239195     179629584                   35.92   18637516  16418538  15442706  14098307  4    5     7    8     8.04             
