All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    01_falcon_p_ctg_groups_10_purge_dups_purged  01_falcon_p_ctg_groups_11_purge_dups_purged  01_falcon_p_ctg_groups_12_purge_dups_purged  01_falcon_p_ctg_groups_13_purge_dups_purged  01_falcon_p_ctg_salsa_purge_dups_purged  02_falcon_p_h_ctg_groups_10_purge_dups_purged  02_falcon_p_h_ctg_groups_11_purge_dups_purged  02_falcon_p_h_ctg_groups_12_purge_dups_purged  02_falcon_p_h_ctg_groups_13_purge_dups_purged  02_falcon_p_h_ctg_salsa_purge_dups_purged  11_arenosa_pilon12_groups_10_purge_dups_purged  11_arenosa_pilon12_groups_11_purge_dups_purged  11_arenosa_pilon12_groups_12_purge_dups_purged  11_arenosa_pilon12_groups_13_purge_dups_purged  11_arenosa_pilon12_salsa_purge_dups_purged  12_arenosa_purged_sr_groups_10_purge_dups_purged  12_arenosa_purged_sr_groups_11_purge_dups_purged  12_arenosa_purged_sr_groups_12_purge_dups_purged  12_arenosa_purged_sr_groups_13_purge_dups_purged  12_arenosa_purged_sr_salsa_purge_dups_purged
# contigs (>= 0 bp)         15                                           16                                           18                                           19                                           168                                      10                                             12                                             13                                             18                                             179                                        309                                             312                                             313                                             317                                             522                                         251                                               252                                               253                                               258                                               328                                         
# contigs (>= 1000 bp)      15                                           16                                           18                                           19                                           168                                      10                                             12                                             13                                             18                                             179                                        309                                             312                                             313                                             317                                             522                                         251                                               252                                               253                                               258                                               328                                         
# contigs (>= 5000 bp)      15                                           16                                           18                                           19                                           168                                      10                                             12                                             13                                             18                                             179                                        106                                             109                                             110                                             114                                             318                                         86                                                87                                                88                                                93                                                163                                         
# contigs (>= 10000 bp)     15                                           16                                           18                                           19                                           166                                      10                                             12                                             13                                             18                                             178                                        35                                              38                                              39                                              42                                              247                                         37                                                38                                                39                                                44                                                114                                         
# contigs (>= 25000 bp)     13                                           14                                           16                                           17                                           132                                      10                                             11                                             12                                             17                                             153                                        23                                              26                                              28                                              30                                              222                                         28                                                29                                                30                                                35                                                100                                         
# contigs (>= 50000 bp)     12                                           13                                           15                                           16                                           87                                       10                                             11                                             12                                             16                                             83                                         21                                              24                                              26                                              27                                              146                                         21                                                23                                                24                                                27                                                76                                          
Total length (>= 0 bp)      151489568                                    150149377                                    152091173                                    150732824                                    150203787                                152363329                                      152357714                                      152200355                                      151770198                                      152072172                                  155671432                                       155667043                                       155801955                                       155616405                                       156437605                                   149285098                                         149400883                                         149336705                                         149304435                                         149208252                                   
Total length (>= 1000 bp)   151489568                                    150149377                                    152091173                                    150732824                                    150203787                                152363329                                      152357714                                      152200355                                      151770198                                      152072172                                  155671432                                       155667043                                       155801955                                       155616405                                       156437605                                   149285098                                         149400883                                         149336705                                         149304435                                         149208252                                   
Total length (>= 5000 bp)   151489568                                    150149377                                    152091173                                    150732824                                    150203787                                152363329                                      152357714                                      152200355                                      151770198                                      152072172                                  155116930                                       155112541                                       155247453                                       155061903                                       155880796                                   148839297                                         148955082                                         148890904                                         148858634                                         148762451                                   
Total length (>= 10000 bp)  151489568                                    150149377                                    152091173                                    150732824                                    150185273                                152363329                                      152357714                                      152200355                                      151770198                                      152067055                                  154641015                                       154636626                                       154771538                                       154577318                                       155404881                                   148505798                                         148621583                                         148557405                                         148525135                                         148428952                                   
