Chr;Start;End;gene_id;Clade;Type;Shape;color
1;293395;294504;jg7901;Alpha-1;Alpha;circle;6D0026
1;7489742;7490383;jg9755;Alpha-6;Alpha;circle;6D0026
1;8124230;8126643;jg9917;Delta-3;Delta;circle;FFC1AD
1;9912372;9914731;jg10309;Delta-4;Delta;circle;FFC1AD
1;10111237;10111728;jg10353;Gamma-8;Gamma;circle;FF755F
1;11501768;11505388;jg10657;MIKC-6;MIKC;triangle;A7CEE2
1;12055078;12057230;jg10776;MIKC-3;MIKC;triangle;A7CEE2
1;13513402;13513956;jg11086;Alpha-7a;Alpha;circle;6D0026
1;14512834;14513742;jg11270;Gamma-2b;Gamma;circle;FF755F
1;14523666;14524667;jg11273;Gamma-2a;Gamma;circle;FF755F
1;14528786;14529787;jg11275;Gamma-2a;Gamma;circle;FF755F
1;17315660;17316568;jg11733;Gamma-2b;Gamma;circle;FF755F
1;17626086;17627860;jg11798;MIKC-38;MIKC;triangle;A7CEE2
1;24438323;24438964;jg12381;Alpha-9;Alpha;circle;6D0026
1;24447459;24448077;jg12382;Alpha-9;Alpha;circle;6D0026
1;24488558;24489192;jg12387;Alpha-9;Alpha;circle;6D0026
2;2979456;2980043;jg23024;Alpha-15;Alpha;circle;6D0026
2;3682787;3683659;jg23150;Beta-5;Beta;circle;CC1A36
2;3689421;3690290;jg23152;Beta-5;Beta;circle;CC1A36
2;3930545;3931423;jg23180;Beta-5;Beta;circle;CC1A36
2;9877682;9878518;jg23525;Gamma-1b;Gamma;circle;FF755F
2;10649052;10649888;jg23630;Gamma-1b;Gamma;circle;FF755F
2;10698237;10699088;jg23642;Gamma-1a;Gamma;circle;FF755F
2;10713489;10714259;jg23644;Gamma-1a;Gamma;circle;FF755F
2;10755145;10755999;jg23651;Gamma-1a;Gamma;circle;FF755F
2;10767346;10768197;jg23654;Gamma-1a;Gamma;circle;FF755F
2;11293550;11294404;jg23805;Gamma-1a;Gamma;circle;FF755F
2;11305748;11306602;jg23808;Gamma-1a;Gamma;circle;FF755F
2;13249123;13249770;jg24046;Gamma-1c;Gamma;circle;FF755F
2;13257811;13258775;jg24047;Alpha-1;Alpha;circle;6D0026
2;13892297;13893154;jg24152;Alpha-13;Alpha;circle;6D0026
2;15632387;15636045;jg24454;MIKC-5;MIKC;triangle;A7CEE2
2;15885362;15887178;jg24502;Delta-1;Delta;circle;FFC1AD
2;17040521;17042659;jg24750;MIKC-11;MIKC;triangle;A7CEE2
2;17397775;17398449;jg24828;Alpha-5;Alpha;circle;6D0026
2;19705750;19709851;jg25374;MIKC-29;MIKC;triangle;A7CEE2
3;558439;560533;jg25967;MIKC-2;MIKC;triangle;A7CEE2
3;1326652;1327269;jg26194;Alpha-8;Alpha;circle;6D0026
3;2196972;2197514;jg26423;Gamma-5;Gamma;circle;FF755F
3;2198708;2199700;jg26424;Gamma-6b;Gamma;circle;FF755F
3;2646313;2646849;jg26526;Alpha-10;Alpha;circle;6D0026
3;7927796;7928944;jg27905;Beta-4;Beta;circle;CC1A36
3;11432615;11433691;jg28651;Gamma-10;Gamma;circle;FF755F
3;12957922;12958773;jg28923;Gamma-12;Gamma;circle;FF755F
3;15978319;15984388;jg29367;MIKC-25;MIKC;triangle;A7CEE2
4;1006390;1010452;jg4058;MIKC-27;MIKC;triangle;A7CEE2
4;1054147;1057587;jg4066;MIKC-23;MIKC;triangle;A7CEE2
4;3216448;3216867;jg4425;Alpha-4;Alpha;circle;6D0026
4;3240593;3241180;jg4431;Alpha-4;Alpha;circle;6D0026
4;5666963;5668761;jg4747;Delta-8;Delta;circle;FFC1AD
4;10608823;10610107;jg5322;Gamma-4;Gamma;circle;FF755F
4;13884474;13884992;jg6051;Alpha-11;Alpha;circle;6D0026
4;17071246;17072295;jg6763;Gamma-9a;Gamma;circle;FF755F
4;18440185;18443523;jg7112;MIKC-19;MIKC;triangle;A7CEE2
4;19865786;19867602;jg7485;MIKC-9;MIKC;triangle;A7CEE2
4;19871438;19873832;jg7486;MIKC-17;MIKC;triangle;A7CEE2
5;1308745;1311172;jg14365;Delta-2;Delta;circle;FFC1AD
5;1637969;1640045;jg14432;MIKC-4;MIKC;triangle;A7CEE2
5;2478543;2479520;jg14592;Alpha-14;Alpha;circle;6D0026
5;6289536;6293461;jg15143;MIKC-8;MIKC;triangle;A7CEE2
5;8146157;8147143;jg15404;Alpha-17;Alpha;circle;6D0026
5;8357620;8357961;jg15437;Alpha-17;Alpha;circle;6D0026
5;10549002;10549457;jg15764;Alpha-7b;Alpha;circle;6D0026
5;15156676;15158379;jg16854;MIKC-36;MIKC;triangle;A7CEE2
5;16460311;16463441;jg17183;MIKC-24;MIKC;triangle;A7CEE2
5;16529026;16530824;jg17198;MIKC-34;MIKC;triangle;A7CEE2
5;17176920;17181113;jg17358;MIKC-18;MIKC;triangle;A7CEE2
5;18364146;18366995;jg17646;MIKC-10;MIKC;triangle;A7CEE2
6;2503609;2504343;jg30969;Gamma-13;Gamma;circle;FF755F
6;3972076;3978149;jg31360;MIKC-32;MIKC;triangle;A7CEE2
6;3991683;3996883;jg31363;MIKC-32;MIKC;triangle;A7CEE2
6;5569639;5571263;jg31738;MIKC-33;MIKC;triangle;A7CEE2
6;6365609;6367903;jg31950;MIKC-1;MIKC;triangle;A7CEE2
6;8311253;8313253;jg32428;MIKC-35;MIKC;triangle;A7CEE2
6;9704570;9706482;jg32696;MIKC-37;MIKC;triangle;A7CEE2
6;12338482;12339540;jg33154;Gamma-3;Gamma;circle;FF755F
6;12358212;12358868;jg33157;Gamma-7;Gamma;circle;FF755F
6;12548721;12549452;jg33190;Beta-3;Beta;circle;CC1A36
6;12551450;12552139;jg33191;Beta-3;Beta;circle;CC1A36
6;13222843;13223517;jg33304;Beta-3;Beta;circle;CC1A36
6;13226637;13227353;jg33305;Beta-3;Beta;circle;CC1A36
6;17798550;17799437;jg33837;Beta-5;Beta;circle;CC1A36
6;17844376;17846730;jg33844;MIKC-21;MIKC;triangle;A7CEE2
6;19540691;19545239;jg34142;MIKC-16;MIKC;triangle;A7CEE2
7;944121;947167;jg18174;MIKC-22;MIKC;triangle;A7CEE2
7;1807513;1810056;jg18383;Alpha-2;Alpha;circle;6D0026
7;7549658;7552315;jg19763;MIKC-26;MIKC;triangle;A7CEE2
7;8376120;8379671;jg19950;MIKC-15;MIKC;triangle;A7CEE2
7;10543670;10549474;jg20444;MIKC-20;MIKC;triangle;A7CEE2
7;20305659;20308038;jg22099;Beta-1;Beta;circle;CC1A36
7;20673928;20674953;jg22153;Beta-1;Beta;circle;CC1A36
7;20737860;20739107;jg22165;Beta-1;Beta;circle;CC1A36
8;9732643;9733539;jg1361;Gamma-6a;Gamma;circle;FF755F
8;10491503;10492585;jg1477;Alpha-12;Alpha;circle;6D0026
8;10680859;10681764;jg1514;Alpha-12;Alpha;circle;6D0026
8;10690263;10691411;jg1517;Alpha-12;Alpha;circle;6D0026
8;10814800;10815555;jg1538;Alpha-12;Alpha;circle;6D0026
8;10890394;10890798;jg1549;Alpha-12;Alpha;circle;6D0026
8;10893713;10894612;jg1551;Alpha-12;Alpha;circle;6D0026
8;12387657;12390185;jg1836;MIKC-12;MIKC;triangle;A7CEE2
8;12392905;12396553;jg1837;MIKC-13;MIKC;triangle;A7CEE2
8;14891454;14892275;jg2351;Beta-6;Beta;circle;CC1A36
8;16588688;16589569;jg2753;Beta-7;Beta;circle;CC1A36
8;17264212;17265376;jg2919;Alpha-3;Alpha;circle;6D0026
8;17524169;17527641;jg2973;MIKC-7;MIKC;triangle;A7CEE2
8;18089433;18093137;jg3106;MIKC-14;MIKC;triangle;A7CEE2
8;19533626;19536934;jg3492;MIKC-28;MIKC;triangle;A7CEE2
8;19544550;19546467;jg3494;MIKC-30;MIKC;triangle;A7CEE2
8;19677620;19678708;jg3523;Beta-2;Beta;circle;CC1A36
