All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    AA4        AARE701a   arenosa_canu  arenosa_ordered  diploid    tetraploid  Alyrata_384_v1
# contigs (>= 0 bp)         3629       8          859           264              10147      121101      695           
# contigs (>= 1000 bp)      3629       8          859           264              7470       63826       695           
# contigs (>= 5000 bp)      3598       8          621           100              2271       4518        464           
# contigs (>= 10000 bp)     3470       8          538           48               961        1424        235           
# contigs (>= 25000 bp)     2711       8          483           38               396        379         72            
# contigs (>= 50000 bp)     1670       8          335           29               196        121         49            
Total length (>= 0 bp)      460959661  149659193  256270718     152958180        164833954  212810679   206667935     
Total length (>= 1000 bp)   460959661  149659193  256270718     152958180        162925655  172383895   206667935     
Total length (>= 5000 bp)   460835122  149659193  255619613     152514791        149616066  54775819    205766616     
Total length (>= 10000 bp)  459826355  149659193  255060954     152165461        140738833  34568106    204152087     
Total length (>= 25000 bp)  446344626  149659193  254062635     152032294        132482972  18468427    201790437     
Total length (>= 50000 bp)  408491378  149659193  248437190     151705284        125271827  9597253     200933512     
# contigs                   3624       8          713           160              4099       13580       674           
Largest contig              2493693    25224288   13300191      22929204         5606237    156124      33132539      
Total length                460947501  149659193  255974246     152750645        156821447  88862969    206638382     
Estimated reference length  179629584  179629584  179629584     179629584        179629584  179629584   179629584     
GC (%)                      36.10      35.58      36.03         35.91            35.65      35.43       36.09         
N50                         331410     19161110   2745836       19156880         1390259    6528        24464547      
NG50                        748051     17268480   4304049       17586680         999787     -           24464547      
N75                         140168     16611783   1256627       16671820         162800     4056        21221946      
NG75                        583210     16074557   2605407       15185554         18297      -           22951293      
L50                         371        4          23            4                25         2682        4             
LG50                        84         5          13            5                34         -           4             
L75                         885        6          58            6                101        7168        7             
LG75                        153        7          26            8                501        -           6             
# N's per 100 kbp           0.00       2659.38    0.00          9.95             4464.92    5615.56     11077.21      
