Name	Clade	id
A.lyrata_petraea_g19574.t1	Gamma_1a	Ape__jg23808
A.lyrata_petraea_g19339.t1	Gamma_1a	Ape__jg23654
A.lyrata_petraea_g19569.t1	Gamma_1a	Ape__jg23805
A.lyrata_petraea_g19334.t1	Gamma_1a	Ape__jg23651
A.lyrata_lyrata_XP_020865902	Gamma_1a	Aly__XP_020865902
A.lyrata_lyrata_XP_020891468	Gamma_1a	Aly__XP_020891468
A.lyrata_petraea_g19318.t1	Gamma_1a	Ape__jg23642
A.lyrata_lyrata_XP_020891479	Gamma_1a	Aly__XP_020891479
A.lyrata_petraea_g19321.t1	Gamma_1a	Ape__jg23644
A.arenosa_MJ09_4_g1881.t1	Gamma_1a	Aaa__jg1881
A.arenosa_MJ09_4_g1882.t1	Gamma_1a	Aaa__jg1882
Athaliana_At1g65330_AGL37_gamma	Gamma_1a	Ath__AT1G65330
A.lyrata_lyrata_XP_020889601	Gamma_1b	Aly__XP_020889601
A.lyrata_lyrata_XP_020890945	Gamma_1b	Aly__XP_020890945
A.lyrata_petraea_g19077.t1	Gamma_1b	Ape__jg23525
A.lyrata_petraea_g19304.t1	Gamma_1b	Ape__jg23630
A.arenosa_MJ09_4_g1870.t1	Gamma_1b	Aaa__jg1870
Athaliana_At1g65300_AGL38_gamma	Gamma_1b	Ath__AT1G65300
A.lyrata_petraea_g20045.t1	Gamma_2	Ape__jg24046
A.arenosa_MJ09_4_g2103.t1	Gamma_2	Aaa__jg2103
A.arenosa_MJ09_4_g2642.t1	Gamma_2	Aaa__jg2642
A.lyrata_lyrata_XP_020866128	Gamma_3a	Aly__XP_020866128
A.lyrata_lyrata_XP_020870022	Gamma_3a	Aly__XP_020870022
A.lyrata_petraea_g43651.t1	Gamma_3a	Ape__jg11273
A.lyrata_petraea_g43653.t1	Gamma_3a	Ape__jg11275
A.arenosa_MJ09_4_g31787.t1	Gamma_3a	Aaa__jg31787
Athaliana_AT1G33070_CIS_BP	Gamma_3a	Ath__AT1G33070
Athaliana_At1g31630_AGL86_gamma	Gamma_3a	Ath__AT1G31630
Athaliana_At1g31640_AGL92_gamma	Gamma_3a	Ath__AT1G31640
A.lyrata_petraea_g44445.t1	Gamma_3b	Ape__jg11733
A.lyrata_petraea_g43646.t1	Gamma_3b	Ape__jg11270
A.lyrata_lyrata_XP_020869435	Gamma_3b	Aly__XP_020869435
A.arenosa_MJ09_4_g31786.t1	Gamma_3b	Aaa__jg31786
A.lyrata_lyrata_XP_020879058	Gamma_4	Aly__XP_020879058
A.lyrata_petraea_g3248.t1	Gamma_4	Ape__jg33154
A.arenosa_MJ09_4_g6809.t1	Gamma_4	Aaa__jg6809
A.arenosa_MJ09_4_g6814.t1	Gamma_4	Aaa__jg6814
A.arenosa_MJ09_4_g6562.t1	Gamma_4	Aaa__jg6562
Athaliana_At5g26650_AGL36_gamma	Gamma_4	Ath__AT5G26650
Athaliana_At5g27960_AGL90_gamma	Gamma_4	Ath__AT5G27960
Athaliana_At5g26580_AGL34_gamma	Gamma_4	Ath__AT5G26580
A.lyrata_lyrata_XP_020884864	Gamma_5a	Aly__XP_020884864
A.lyrata_petraea_g14716.t1	Gamma_5a	Ape__jg5322
A.arenosa_MJ09_4_g17849.t1	Gamma_5a	Aaa__jg17849
Athaliana_At2g28700_AGL46_gamma	Gamma_5a	Ath__AT2G28700
A.lyrata_lyrata_XP_020889036	Gamma_5b	Aly__XP_020889036
A.lyrata_petraea_g34132.t1	Gamma_5b	Ape__jg26423
A.arenosa_MJ09_4_g24511.t1	Gamma_5b	Aaa__jg24511
Athaliana_At3g05860_AGL45I_gamma	Gamma_5b	Ath__AT3G05860
A.lyrata_petraea_g8949.t1	Gamma_6	Ape__jg1361
A.lyrata_lyrata_XP_020871231	Gamma_6	Aly__XP_020871231
Athaliana_AT5G27810_CIS_BP	Gamma_6	Ath__AT5G27810
A.arenosa_MJ09_4_g21432.t1	Gamma_6	Aaa__jg21432
Athaliana_At5g48670_AGL80_gamma	Gamma_6	Ath__AT5G48670
A.lyrata_petraea_g34133.t1	Gamma_7	Ape__jg26424
A.arenosa_MJ09_4_g24512.t1	Gamma_7	Aaa__jg24512
A.lyrata_lyrata_XP_020879188	Gamma_8	Aly__XP_020879188
A.lyrata_petraea_g3255.t1	Gamma_8	Ape__jg33157
A.arenosa_MJ09_4_g6565.t1	Gamma_8	Aaa__jg6565
Athaliana_At5g26630_AGL35_gamma	Gamma_8	Ath__AT5G26630
A.arenosa_MJ09_4_g30819.t1	Gamma_9	Aaa__jg30819
A.lyrata_petraea_g42491.t1	Gamma_9	Ape__jg10353
Athaliana_At1g22590_AGL87_gamma	Gamma_9	Ath__AT1G22590
A.lyrata_lyrata_XP_020885147	Gamma_10a	Aly__XP_020885147
A.lyrata_petraea_g16389.t1	Gamma_10a	Ape__jg6763
A.arenosa_MJ09_4_g19271.t1	Gamma_10a	Aaa__jg19271
Athaliana_At2g40210_AGL48_gamma	Gamma_10a	Ath__AT2G40210
A.arenosa_MJ09_4_g12750.t1	Gamma_10a	Aaa__jg12750
A.lyrata_lyrata_XP_020886138	Gamma_10b	Aly__XP_020886138
A.lyrata_petraea_g37074.t1	Gamma_10b	Ape__jg28923
A.arenosa_MJ09_4_g27016.t1	Gamma_10b	Aaa__jg27016
A.lyrata_petraea_g36658.t1	Gamma_10c	Ape__jg28651
A.lyrata_lyrata_XP_020889440	Gamma_10c	Aly__XP_020889440
Athaliana_At2g15660_AGL95_gamma	Gamma_10c	Ath__AT2G15660
A.arenosa_MJ09_4_g17533.t1	Gamma_10d	Aaa__jg17533
Athaliana_At2g26880_AGL41_gamma	Gamma_10d	Ath__AT2G26880
A.lyrata_lyrata_XP_020879043	Gamma_11	Aly__XP_020879043
A.lyrata_petraea_g718.t1	Gamma_11	Ape__jg30969
A.arenosa_MJ09_4_g4429.t1	Gamma_11	Aaa__jg4429
Athaliana_At5g06500_AGL96_gamma	Gamma_11	Ath__AT5G06500
A.lyrata_petraea_g32880.t1	Beta_1	Ape__jg22153
A.arenosa_MJ09_4_g12556.t1	Beta_1	Aaa__jg12556
A.lyrata_petraea_g32801.t1	Beta_1	Ape__jg22099
A.lyrata_lyrata_XP_020872955	Beta_1	Aly__XP_020872955
A.lyrata_petraea_g32896.t1	Beta_1	Ape__jg22165
A.lyrata_petraea_g32896.t1	Beta_1	Ape__jg22166
A.lyrata_lyrata_XP_002870726	Beta_1	Aly__XP_002870726
A.arenosa_MJ09_4_g12549.t1	Beta_1	Aaa__jg12549
A.arenosa_MJ09_4_g12611.t1	Beta_1	Aaa__jg12611
Athaliana_At5g39750_AGL81_beta	Beta_1	Ath__AT5G39750
Athaliana_At5g39810_AGL98_beta	Beta_1	Ath__AT5G39810
Athaliana_At5g37415.1_AGL105_beta	Beta_1	Ath__AT5G37415
Athaliana_At5g40220_AGL43_beta	Beta_1	Ath__AT5G40220
Athaliana_At5g41200_AGL75_beta	Beta_1	Ath__AT5G41200
Athaliana_At5g40120_AGL76_beta	Beta_1	Ath__AT5G40120
Athaliana_At5g38740_AGL77_beta	Beta_1	Ath__AT5G38740
A.lyrata_lyrata_XP_002864952	Beta_2	Aly__XP_002864952
A.lyrata_petraea_g11579.t1	Beta_2	Ape__jg3523
A.arenosa_MJ09_4_g23546.t1	Beta_2	Aaa__jg23546
Athaliana_At4g02235_AGL51_beta	Beta_2	Ath__AT4G02235
Athaliana_At4g11250_AGL52_beta	Beta_2	Ath__AT4G11250
Athaliana_At5g65330_AGL78_beta	Beta_3	Ath__AT5G65330
Athaliana_At5g27070_AGL53_beta	Beta_3	Ath__AT5G27070
Athaliana_At5g26950_AGL93_beta	Beta_3	Ath__AT5G26950
Athaliana_At5g27090_AGL54_beta	Beta_3	Ath__AT5G27090
Athaliana_AT5G27944_CIS_BP	Beta_3	Ath__AT5G27944
Athaliana_At5g27580_AGL89_beta	Beta_3	Ath__AT5G27580
Athaliana_At5g27050_AGL101_beta	Beta_3	Ath__AT5G27050
