Name	Clade 
A.lyrata_petraea_g19574.t1	Gamma_1a
A.lyrata_petraea_g19339.t1	Gamma_1a
A.lyrata_petraea_g19569.t1	Gamma_1a
A.lyrata_petraea_g19334.t1	Gamma_1a
A.lyrata_lyrata_XP_020865902	Gamma_1a
A.lyrata_lyrata_XP_020891468	Gamma_1a
A.halleri_halleri_g26348	Gamma_1a
A.lyrata_petraea_g19318.t1	Gamma_1a
A.arenosa_strecno_g23206.t1	Gamma_1a
A.lyrata_lyrata_XP_020891479	Gamma_1a
A.lyrata_petraea_g19321.t1	Gamma_1a
A.arenosa_MJ09_4_g1881.t1	Gamma_1a
A.arenosa_MJ09_4_g1882.t1	Gamma_1a
A.arenosa_strecno_g33080.t1	Gamma_1a
Athaliana_At1g65330_AGL37_gamma	Gamma_1a
A.lyrata_lyrata_XP_020889601	Gamma_1b
A.lyrata_lyrata_XP_020890945	Gamma_1b
A.lyrata_petraea_g19077.t1	Gamma_1b
A.lyrata_petraea_g19304.t1	Gamma_1b
A.arenosa_MJ09_4_g1870.t1	Gamma_1b
A.arenosa_strecno_g23199.t1	Gamma_1b
Athaliana_At1g65300_AGL38_gamma	Gamma_1b
A.lyrata_petraea_g20045.t1	Gamma_2
A.arenosa_MJ09_4_g2103.t1	Gamma_2
A.halleri_halleri_g19892	Gamma_2
A.arenosa_strecno_g4228.t1	Gamma_2
A.halleri_halleri_g19335	Gamma_2
A.arenosa_MJ09_4_g2642.t1	Gamma_2
A.lyrata_lyrata_XP_020866128	Gamma_3a
A.lyrata_lyrata_XP_020870022	Gamma_3a
A.lyrata_petraea_g43651.t1	Gamma_3a
A.lyrata_petraea_g43653.t1	Gamma_3a
A.arenosa_MJ09_4_g31787.t1	Gamma_3a
A.arenosa_strecno_g11736.t1	Gamma_3a
Athaliana_AT1G33070_CIS_BP	Gamma_3a
Athaliana_At1g31630_AGL86_gamma	Gamma_3a
Athaliana_At1g31640_AGL92_gamma	Gamma_3a
A.lyrata_petraea_g44445.t1	Gamma_3b
