Chr;Start;End;gene_id;Clade;Type;Shape;color
1;261077;262149;jg28468;Alpha-1;Alpha;circle;6D0026
1;6732687;6733298;jg30256;Alpha-6;Alpha;circle;6D0026
1;7292912;7295391;jg30399;Delta-3;Delta;circle;FFC1AD
1;8742124;8744039;jg30773;Delta-4;Delta;circle;FFC1AD
1;8937745;8940097;jg30819;Gamma-8;Gamma;circle;FF755F
1;10110325;10113804;jg31128;MIKC-6;MIKC;triangle;A7CEE2
1;10596322;10598463;jg31253;MIKC-3;MIKC;triangle;A7CEE2
1;11714387;11714941;jg31539;Alpha-7a;Alpha;circle;6D0026
1;12555059;12556742;jg31720;MIKC-38;MIKC;triangle;A7CEE2
1;12821754;12822650;jg31786;Gamma-2b;Gamma;circle;FF755F
1;12826304;12827305;jg31787;Gamma-2a;Gamma;circle;FF755F
1;18685305;18685950;jg32816;Alpha-9;Alpha;circle;6D0026
1;18711580;18712143;jg32819;Alpha-9;Alpha;circle;6D0026
1;18720801;18721396;jg32821;Alpha-9;Alpha;circle;6D0026
2;2282428;2283000;jg889;Alpha-16;Alpha;circle;6D0026
2;2303392;2303979;jg893;Alpha-15;Alpha;circle;6D0026
2;2877273;2878145;jg1021;Beta-5;Beta;circle;CC1A36
2;2884553;2885419;jg1023;Beta-5;Beta;circle;CC1A36
2;2886767;2887489;jg1024;Beta-5;Beta;circle;CC1A36
2;3055611;3056486;jg1060;Beta-5;Beta;circle;CC1A36
2;8325903;8326724;jg1870;Gamma-1b;Gamma;circle;FF755F
2;8378187;8379038;jg1881;Gamma-1a;Gamma;circle;FF755F
2;8382829;8383680;jg1882;Gamma-1a;Gamma;circle;FF755F
2;9640114;9640767;jg2103;Gamma-1c;Gamma;circle;FF755F
2;9650059;9650773;jg2104;Alpha-1;Alpha;circle;6D0026
2;10148575;10149435;jg2215;Alpha-13;Alpha;circle;6D0026
2;11510369;11513988;jg2490;MIKC-5;MIKC;triangle;A7CEE2
2;11719431;11721256;jg2540;Delta-1;Delta;circle;FFC1AD
2;12174736;12175371;jg2642;Gamma-1c;Gamma;circle;FF755F
2;12720047;12722253;jg2788;MIKC-11;MIKC;triangle;A7CEE2
2;13081803;13082477;jg2870;Alpha-5;Alpha;circle;6D0026
2;15025696;15029491;jg3374;MIKC-29;MIKC;triangle;A7CEE2
2;15422166;15424049;jg3471;Delta-6;Delta;circle;FFC1AD
3;543242;545344;jg24046;MIKC-2;MIKC;triangle;A7CEE2
3;1268019;1268579;jg24273;Alpha-8;Alpha;circle;6D0026
3;2097584;2098428;jg24511;Gamma-5;Gamma;circle;FF755F
3;2100350;2101252;jg24512;Gamma-6b;Gamma;circle;FF755F
3;2508872;2509408;jg24613;Alpha-10;Alpha;circle;6D0026
3;7369085;7370227;jg25996;Beta-4;Beta;circle;CC1A36
3;11609033;11609878;jg27016;Gamma-12;Gamma;circle;FF755F
3;15093475;15103228;jg27446;MIKC-25;MIKC;triangle;A7CEE2
4;802644;805533;jg16681;MIKC-27;MIKC;triangle;A7CEE2
4;844802;847800;jg16690;MIKC-23;MIKC;triangle;A7CEE2
4;2322155;2322685;jg17009;Alpha-4;Alpha;circle;6D0026
4;2372445;2373077;jg17021;Alpha-4;Alpha;circle;6D0026
4;4105874;4107658;jg17327;Delta-8;Delta;circle;FFC1AD
4;6600157;6601275;jg17533;Gamma-9b;Gamma;circle;FF755F
4;6957538;6958044;jg17596;Alpha-18;Alpha;circle;6D0026
4;8344303;8345679;jg17849;Gamma-4;Gamma;circle;FF755F
4;11258622;11259140;jg18546;Alpha-11;Alpha;circle;6D0026
4;14132685;14133734;jg19271;Gamma-9a;Gamma;circle;FF755F
4;15311040;15314328;jg19602;MIKC-19;MIKC;triangle;A7CEE2
4;16569357;16571189;jg19959;MIKC-9;MIKC;triangle;A7CEE2
4;16573561;16575943;jg19960;MIKC-17;MIKC;triangle;A7CEE2
5;894723;896828;jg13103;Delta-2;Delta;circle;FFC1AD
5;1170397;1172386;jg13173;MIKC-4;MIKC;triangle;A7CEE2
5;1786332;1787312;jg13317;Alpha-14;Alpha;circle;6D0026
5;5817739;5818746;jg14041;Alpha-17;Alpha;circle;6D0026
5;5939766;5940767;jg14068;Alpha-17;Alpha;circle;6D0026
5;7363607;7364089;jg14342;Alpha-7b;Alpha;circle;6D0026
5;7492178;7492594;jg14374;Alpha-13;Alpha;circle;6D0026
5;11310044;11311749;jg15371;MIKC-36;MIKC;triangle;A7CEE2
5;12378119;12381310;jg15656;MIKC-24;MIKC;triangle;A7CEE2
5;12590584;12593773;jg15725;MIKC-24;MIKC;triangle;A7CEE2
