Treeorder	phy_name	genome_name	Clade	id
1	A.lyrata_petraea_g19574.t1	A.lyrata_petraea_g23808	Gamma - 1a	Ape__jg23808
2	A.lyrata_petraea_g19339.t1	A.lyrata_petraea_g23654	Gamma - 1a	Ape__jg23654
3	A.lyrata_petraea_g19569.t1	A.lyrata_petraea_g23805	Gamma - 1a	Ape__jg23805
4	A.lyrata_petraea_g19334.t1	A.lyrata_petraea_g23651	Gamma - 1a	Ape__jg23651
8	A.lyrata_petraea_g19318.t1	A.lyrata_petraea_g23642	Gamma - 1a	Ape__jg23642
11	A.lyrata_petraea_g19321.t1	A.lyrata_petraea_g23644	Gamma - 1a	Ape__jg23644
12	A.arenosa_MJ09_4_g1881.t1	NA	Gamma - 1a	Aaa__jg1881
13	A.arenosa_MJ09_4_g1882.t1	NA	Gamma - 1a	Aaa__jg1882
15	A.thaliana_At1g65330_AGL37_gamma	NA	Gamma - 1a	Ath__AT1G65330
18	A.lyrata_petraea_g19077.t1	A.lyrata_petraea_g23525	Gamma - 1b	Ape__jg23525
19	A.lyrata_petraea_g19304.t1	A.lyrata_petraea_g23630	Gamma - 1b	Ape__jg23630
20	A.arenosa_MJ09_4_g1870.t1	NA	Gamma - 1b	Aaa__jg1870
22	A.thaliana_At1g65300_AGL38_gamma	NA	Gamma - 1b	Ath__AT1G65300
23	A.lyrata_petraea_g20045.t1	A.lyrata_petraea_g24046	Gamma - 2	Ape__jg24046
24	A.arenosa_MJ09_4_g2103.t1	NA	Gamma - 2	Aaa__jg2103
28	A.arenosa_MJ09_4_g2642.t1	NA	Gamma - 2	Aaa__jg2642
31	A.lyrata_petraea_g43651.t1	A.lyrata_petraea_g11273	Gamma - 3a	Ape__jg11273
32	A.lyrata_petraea_g43653.t1	A.lyrata_petraea_g11275	Gamma - 3a	Ape__jg11275
33	A.arenosa_MJ09_4_g31787.t1	NA	Gamma - 3a	Aaa__jg31787
35	A.thaliana_AT1G33070_CIS_BP	NA	Gamma - 3a	Ath__AT1G33070
36	A.thaliana_At1g31630_AGL86_gamma	NA	Gamma - 3a	Ath__AT1G31630
37	A.thaliana_At1g31640_AGL92_gamma	NA	Gamma - 3a	Ath__AT1G31640
38	A.lyrata_petraea_g44445.t1	A.lyrata_petraea_g11733	Gamma - 3b	Ape__jg11733
39	A.lyrata_petraea_g43646.t1	A.lyrata_petraea_g11270	Gamma - 3b	Ape__jg11270
43	A.arenosa_MJ09_4_g31786.t1	NA	Gamma - 3b	Aaa__jg31786
45	A.lyrata_petraea_g3248.t1	A.lyrata_petraea_g33154	Gamma - 4	Ape__jg33154
46	A.arenosa_MJ09_4_g6809.t1	NA	Gamma - 4	Aaa__jg6809
47	A.arenosa_MJ09_4_g6814.t1	NA	Gamma - 4	Aaa__jg6814
49	A.arenosa_MJ09_4_g6562.t1	NA	Gamma - 4	Aaa__jg6562
51	A.thaliana_At5g26650_AGL36_gamma	NA	Gamma - 4	Ath__AT5G26650
52	A.thaliana_At5g27960_AGL90_gamma	NA	Gamma - 4	Ath__AT5G27960
