Chr	Start	End	CE_start	CE_end
NW_003302555.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_1, whole genome shotgun sequence	1	33132539	16566269.5	16566769.5
NW_003302554.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_2, whole genome shotgun sequence	1	19320864	9660432	9660932
NW_003302553.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_3, whole genome shotgun sequence	1	24464547	12232273.5	12232773.5
NW_003302552.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_4, whole genome shotgun sequence	1	23328337	11664168.5	11664668.5
NW_003302551.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_5, whole genome shotgun sequence	1	21221946	10610973	10611473
NW_003302550.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_6, whole genome shotgun sequence	1	25113588	12556794	12557294
NW_003302549.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_7, whole genome shotgun sequence	1	24649197	12324598.5	12325098.5
NW_003302548.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_8, whole genome shotgun sequence	1	22951293	11475646.5	11476146.5
NW_003302547.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_9, whole genome shotgun sequence	1	1906741	953370.5	953870.5
NW_003302546.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_10, whole genome shotgun sequence	1	461865	230932.5	231432.5
NW_003302545.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_11, whole genome shotgun sequence	1	440609	220304.5	220804.5
NW_003302544.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_13, whole genome shotgun sequence	1	274490	137245	137745
NW_003302543.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_14, whole genome shotgun sequence	1	361337	180668.5	181168.5
NW_003302542.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_15, whole genome shotgun sequence	1	269926	134963	135463
NW_003302541.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_16, whole genome shotgun sequence	1	170080	85040	85540
NW_003302540.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_17, whole genome shotgun sequence	1	170241	85120.5	85620.5
NW_003302539.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_18, whole genome shotgun sequence	1	163736	81868	82368
NW_003302538.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_19, whole genome shotgun sequence	1	129820	64910	65410
NW_003302537.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_20, whole genome shotgun sequence	1	100232	50116	50616
NW_003302536.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_21, whole genome shotgun sequence	1	154816	77408	77908
NW_003302535.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_22, whole genome shotgun sequence	1	77967	38983.5	39483.5
NW_003302534.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_23, whole genome shotgun sequence	1	95112	47556	48056
NW_003302533.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_24, whole genome shotgun sequence	1	72324	36162	36662
NW_003302532.1 Arabidopsis lyrata subsp. lyrata unplaced genomic scaffold ARALYscaffold_25, whole genome shotgun sequence	1	76307	38153.5	38653.5
