Chr	Start	End	CE_start	CE_end
scaffold_1	1	29873447	14936723.5	14937223.5
scaffold_2	1	21510570	10755285	10755785
scaffold_3	1	21808542	10904271	10904771
scaffold_4	1	20979115	10489557.5	10490057.5
scaffold_5	1	19430097	9715048.5	9715548.5
scaffold_6	1	23147533	11573766.5	11574266.5
scaffold_7	1	22694941	11347470.5	11347970.5
scaffold_8	1	20775665	10387832.5	10388332.5
scaffold_9	1	1728866	864433	864933
scaffold_10	1	1671706	835853	836353
scaffold_11	1	548136	274068	274568
scaffold_12	1	465137	232568.5	233068.5
scaffold_13	1	411633	205816.5	206316.5
scaffold_14	1	323294	161647	162147
scaffold_15	1	140274	70137	70637
scaffold_16	1	138191	69095.5	69595.5
scaffold_17	1	130848	65424	65924
scaffold_18	1	120764	60382	60882
scaffold_19	1	119651	59825.5	60325.5
scaffold_20	1	107825	53912.5	54412.5
scaffold_21	1	103239	51619.5	52119.5
scaffold_22	1	95690	47845	48345
scaffold_23	1	86247	43123.5	43623.5
scaffold_24	1	77586	38793	39293
scaffold_25	1	75489	37744.5	38244.5
scaffold_26	1	74630	37315	37815
scaffold_27	1	71793	35896.5	36396.5
scaffold_28	1	71582	35791	36291
scaffold_29	1	66128	33064	33564
scaffold_30	1	65191	32595.5	33095.5
scaffold_31	1	46830	23415	23915
scaffold_32	1	44123	22061.5	22561.5
scaffold_33	1	43794	21897	22397
scaffold_34	1	43376	21688	22188
scaffold_35	1	40122	20061	20561
scaffold_36	1	38591	19295.5	19795.5
scaffold_37	1	38258	19129	19629
scaffold_38	1	37226	18613	19113
scaffold_39	1	34221	17110.5	17610.5
scaffold_40	1	33423	16711.5	17211.5
scaffold_41	1	31778	15889	16389
scaffold_42	1	25797	12898.5	13398.5
scaffold_43	1	25588	12794	13294
scaffold_44	1	23822	11911	12411
scaffold_45	1	20779	10389.5	10889.5
scaffold_46	1	17653	8826.5	9326.5
scaffold_47	1	12699	6349.5	6849.5
scaffold_48	1	12064	6032	6532
scaffold_49	1	6876	3438	3938
scaffold_50	1	2945	1472.5	1972.5
scaffold_51	1	2860	1430	1930
scaffold_52	1	2798	1399	1899
scaffold_53	1	1229	614.5	1114.5
scaffold_54	1	1184	592	1092
scaffold_55	1	6	3	503
